Student_ID,CGPA,Internship_Months,Projects,Aptitude_Score,Placement_Package_LPA
1,7.42,7,4,57,9.29
2,9.61,3,2,94,10.38
3,8.78,10,3,72,10.39
4,8.27,0,5,64,8.89
5,6.59,7,6,72,9.65
6,6.59,3,1,52,7.52
7,6.22,5,5,85,8.92
8,9.29,7,6,83,12.04
9,8.28,3,4,45,8.55
10,8.69,2,5,47,8.93
11,6.08,8,1,57,7.49
12,9.69,2,6,72,10.62
13,9.16,8,6,93,11.95
14,6.81,12,6,69,9.77
15,6.69,1,4,77,9.52
16,6.7,1,5,82,9.11
17,7.16,1,4,50,7.68
18,7.99,5,2,88,9.88
19,7.64,2,2,89,9.18
20,7.11,12,5,76,10.37
21,8.33,8,4,89,11.24
22,6.53,3,1,91,8.76
23,7.11,0,6,65,8.69
24,7.39,3,6,60,9.03
25,7.73,0,5,65,8.93
26,8.98,4,2,55,8.12
27,6.76,3,2,81,7.82
28,7.95,7,6,80,11.45
29,8.25,7,5,79,11.46
30,6.18,6,4,63,8.3
31,8.31,2,2,64,9.05
32,6.65,0,4,62,8.1
33,6.25,0,2,91,9.54
34,9.61,11,2,85,11.96
35,9.67,10,3,93,11.87
36,9.07,2,2,58,8.65
37,7.16,5,1,59,7.23
38,6.37,6,5,75,9.33
39,8.6,5,5,45,9.17
40,7.67,5,4,47,8.06
41,6.46,5,2,60,7.52
42,7.88,12,1,67,9.05
43,6.13,2,4,55,8.38
44,9.46,5,3,56,10.3
45,6.98,7,4,54,8.73
46,8.52,10,4,76,11.53
47,7.18,10,2,60,8.91
48,7.98,1,3,52,7.93
49,8.08,4,4,82,10.76
50,6.7,0,1,56,7.19
51,9.68,11,1,68,10.16
52,8.95,0,5,72,10.0
53,9.57,4,3,52,9.32
54,9.4,11,3,72,10.52
55,8.27,12,5,80,11.78
56,9.5,2,4,70,11.19
57,6.34,3,3,52,6.86
58,6.74,2,1,94,8.79
59,6.17,0,1,72,6.87
60,7.24,0,2,72,7.92
61,7.48,11,3,81,9.94
62,7.03,11,4,85,9.95
63,9.15,12,5,80,11.96
64,7.36,4,5,71,9.13
65,7.07,5,4,61,8.92
66,8.06,2,6,53,9.34
67,6.54,11,2,77,9.07
68,9.05,8,5,64,10.42
69,6.28,4,3,57,7.49
70,9.75,7,2,72,10.95
71,8.93,12,3,92,11.88
72,6.76,0,1,73,7.14
73,6.02,4,2,57,7.34
74,9.1,2,5,90,11.39
75,8.69,11,2,79,9.89
76,8.77,0,2,50,8.61
77,8.93,3,2,62,8.95
78,6.28,12,6,95,11.13
79,7.36,4,2,49,7.55
80,6.44,6,3,91,8.47
81,9.28,0,1,69,8.34
82,8.37,2,4,46,8.78
83,7.26,1,2,54,7.76
84,6.24,8,5,74,8.95
85,7.18,9,2,94,10.23
86,7.24,5,5,89,9.42
87,8.77,9,3,49,9.66
88,8.42,2,5,77,9.61
89,9.37,7,4,45,9.68
90,7.79,7,1,62,8.72
91,6.45,1,5,76,8.34
92,8.71,5,5,91,11.02
93,8.89,6,1,93,10.84
94,8.13,1,4,55,8.54
95,8.93,10,2,65,10.57
96,7.88,9,5,70,9.89
97,7.99,1,1,69,8.6
98,7.62,9,3,66,10.18
99,6.1,0,1,71,5.97
100,6.41,7,3,93,9.09
101,6.12,0,4,57,7.7
102,8.42,8,2,77,9.95
103,7.19,10,1,78,9.4
104,7.93,5,6,85,10.49
105,9.45,6,5,79,11.42
106,6.95,12,4,45,8.93
107,7.56,9,1,65,9.42
108,8.87,6,5,92,11.57
109,6.87,9,1,50,8.08
110,6.29,2,3,72,7.85
111,7.1,1,1,61,7.28
112,6.61,8,6,49,8.81
113,9.53,7,1,75,10.47
