Student_ID,CGPA,Package_LPA
1,7.42,6.93
2,9.61,8.46
3,8.78,7.99
4,8.27,6.66
5,6.59,6.14
6,6.59,6.4
7,6.22,6.62
8,9.29,8.11
9,8.28,7.19
10,8.69,7.65
11,6.08,6.25
12,9.69,8.81
13,9.16,8.01
14,6.81,6.64
15,6.69,6.36
16,6.7,6.76
17,7.16,6.37
18,7.99,7.18
19,7.64,6.88
20,7.11,5.99
21,8.33,7.73
22,6.53,6.31
23,7.11,6.65
24,7.39,6.76
25,7.73,6.49
26,8.98,7.92
27,6.76,6.22
28,7.95,6.94
29,8.25,7.46
30,6.18,6.1
31,8.31,8.43
32,6.65,6.37
33,6.25,6.09
34,9.61,8.56
35,9.67,7.78
36,9.07,8.16
37,7.16,6.71
38,6.37,7.18
39,8.6,7.72
40,7.67,7.22
41,6.46,6.12
42,7.88,6.72
43,6.13,6.4
44,9.46,8.82
45,6.98,6.9
46,8.52,7.34
47,7.18,7.33
48,7.98,6.69
49,8.08,7.67
50,6.7,7.31
51,9.68,8.2
52,8.95,7.83
53,9.57,8.61
54,9.4,8.21
55,8.27,6.85
56,9.5,8.54
57,6.34,5.57
58,6.74,6.57
59,6.17,5.5
60,7.24,7.44
61,7.48,6.58
62,7.03,6.44
63,9.15,8.6
64,7.36,6.29
65,7.07,6.72
66,8.06,7.98
67,6.54,5.48
68,9.05,8.24
69,6.28,6.12
70,9.75,9.06
71,8.93,7.51
72,6.76,5.78
73,6.02,6.03
74,9.1,8.33
75,8.69,7.99
76,8.77,8.1
77,8.93,7.76
78,6.28,6.1
79,7.36,6.97
80,6.44,5.8
81,9.28,9.18
82,8.37,7.84
83,7.26,6.23
84,6.24,6.26
85,7.18,6.26
86,7.24,7.1
87,8.77,8.46
88,8.42,7.3
89,9.37,8.84
90,7.79,7.36
91,6.45,6.5
92,8.71,8.75
93,8.89,7.92
94,8.13,7.1
95,8.93,7.67
96,7.88,6.88
97,7.99,7.3
98,7.62,7.2
99,6.1,5.98
100,6.41,6.47
