Experience_Years,Salary
1,35461
2,32341
3,46272
4,61276
5,44690
6,49190
7,75451
8,70209
9,59866
10,76511
11,68939
12,73411
13,86404
14,65041
15,71801
16,90253
17,89346
18,109771
19,99604
20,98052
21,137088
22,121291
23,129310
24,115903
25,130967
26,143331
27,132688
28,155508
29,148292
30,156500
31,157280
32,191227
33,173338
34,165307
35,192371
36,172350
37,194006
38,172484
39,184562
40,207362
41,218362
42,216056
43,217112
44,219387
45,209758
46,223362
47,230972
48,253685
49,249623
50,228844
51,258389
52,254379
53,255377
54,275340
55,284872
56,288175
57,271429
58,282289
59,294475
60,306707
61,293750
62,301772
63,295224
64,298646
65,327250
66,338275
67,325636
68,343042
69,339840
70,332259
71,348837
72,367456
73,353070
74,376776
75,331063
76,376863
77,372545
78,372412
79,381601
80,361149
81,386864
82,398285
83,416235
84,396781
85,397798
86,405979
87,427485
88,424945
89,419143
90,436159
91,435665
92,450624
93,435075
94,444068
95,447795
96,439438
97,465053
98,469133
99,470561
100,472185
