area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price_lakh
1360,5,5,19,7.1,142.56
1794,4,3,23,8.1,133.3
1630,5,5,21,8.7,129.49
1595,5,5,23,21.4,144.48
2138,3,2,0,4.3,159.46
2669,5,4,23,18.0,210.12
966,4,3,19,14.3,103.51
1738,5,4,10,8.1,148.32
830,3,4,16,11.1,73.03
1982,3,3,7,7.1,136.83
2635,4,3,3,15.7,169.65
630,2,1,5,3.0,54.98
2185,2,3,7,1.1,177.58
1269,5,5,19,16.1,100.3
2891,1,1,29,5.7,163.19
2015,5,4,2,2.7,196.21
2933,4,4,15,10.5,215.37
1715,4,5,29,2.2,156.28
1455,4,5,24,22.3,99.81
2824,4,4,2,1.7,232.82
1684,4,3,24,14.9,113.95
959,3,3,28,11.5,43.03
521,2,3,17,17.1,42.22
2800,4,5,13,8.9,201.79
1247,1,1,17,4.7,89.65
974,1,1,1,24.6,43.81
1582,1,2,21,21.1,76.44
2547,1,1,2,21.6,141.24
1475,3,4,15,7.0,120.52
2306,1,1,28,1.9,124.9
689,4,4,8,8.3,103.66
1062,5,4,3,13.9,107.53
2399,1,1,0,8.8,136.96
1767,3,2,3,20.9,107.1
2028,3,3,0,7.5,175.78
1146,1,1,13,24.2,39.17
2568,5,5,20,12.0,197.12
2714,1,1,15,21.2,128.62
1797,3,2,19,5.7,122.1
2935,2,2,23,10.9,161.1
1100,4,5,7,17.8,118.09
2863,3,4,6,4.3,198.01
2561,1,1,2,4.2,141.99
741,4,4,16,24.3,64.09
2541,1,1,0,18.2,132.34
1863,1,1,15,2.0,96.01
2639,2,2,11,10.6,159.74
1890,4,3,26,11.4,114.55
1978,4,5,18,18.9,171.44
1275,2,3,21,7.0,74.01
534,3,2,22,5.4,46.53
2753,1,1,21,2.9,150.29
2455,5,5,13,11.3,219.28
2085,1,2,29,17.5,80.71
1521,1,1,5,2.4,102.48
1629,3,3,5,23.0,126.44
2000,1,2,12,11.6,113.76
1202,2,2,18,6.8,69.51
2949,2,2,21,3.3,180.14
2079,4,5,7,5.4,199.59
661,5,5,26,23.4,68.09
701,1,1,26,16.3,39.43
2481,1,1,1,13.4,146.68
1495,3,3,20,16.8,116.86
2817,2,3,29,11.5,167.56
1315,5,4,0,18.5,125.31
955,4,3,27,2.1,113.07
1775,2,2,14,14.6,111.61
1516,4,5,0,4.8,158.62
2843,3,2,4,3.9,207.18
837,3,4,27,9.2,87.48
1378,1,1,28,3.2,83.3
1576,5,4,15,3.3,135.51
1291,4,5,18,8.5,117.76
2764,2,1,3,24.5,145.34
1263,3,3,2,5.2,108.28
2735,1,2,16,1.4,156.48
879,1,1,16,19.3,28.33
992,4,4,11,20.4,97.31
1680,3,2,27,9.3,114.57
2562,5,4,29,12.2,184.05
564,3,3,28,16.6,39.59
1867,4,4,13,2.2,176.95
1652,4,4,20,23.8,117.2
2527,3,3,5,22.3,175.47
1995,4,4,2,7.3,164.53
1662,3,3,27,1.4,129.09
2022,2,1,8,23.4,125.84
891,3,3,4,13.0,54.9
2198,3,3,23,13.9,133.95
918,4,3,28,17.4,79.33
2836,4,4,16,15.8,210.77
878,1,1,13,23.7,35.89
2296,1,1,20,23.7,106.43
2778,2,2,30,21.8,161.96
2588,1,2,2,16.3,167.47
2682,3,2,27,20.2,140.25
700,4,4,0,17.3,91.14
2363,1,1,19,14.8,125.33
1279,1,2,30,4.1,93.05
1002,2,1,28,20.5,51.5
2954,2,1,20,20.7,153.39
2251,3,3,22,16.0,145.65
1304,4,4,0,20.7,96.27
2646,2,2,2,16.6,175.63
2395,1,1,17,6.0,142.67
2070,4,5,24,7.6,179.08
1460,4,4,9,6.2,135.93
1985,1,1,30,10.1,98.59
1528,2,2,21,1.9,99.18
1002,1,1,25,15.8,26.37
897,4,4,2,9.1,101.59
1370,5,5,7,16.7,115.88
892,5,4,13,10.2,118.4
706,3,2,23,17.4,22.45
1538,1,1,17,9.2,108.34
2381,1,1,14,7.3,113.83
1984,3,3,21,12.9,150.84
1363,3,4,22,17.6,88.35
1063,3,4,1,9.4,116.12
