area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,balcony_count,parking_spaces,floor_number,garden_area_sqft,noise_feature_1,noise_feature_2,noise_feature_3,price_lakh
1846,3,4,18,21.5,0,1,11,842,-0.528,-1.942,0.659,151.34
1622,5,2,15,15.0,0,1,15,82,-0.139,1.419,0.711,123.85
2266,1,4,20,13.9,1,2,15,597,-0.284,0.162,-0.887,144.64
2654,4,4,19,2.1,4,0,1,264,-0.043,0.705,-0.765,225.17
1647,3,4,19,2.2,0,2,15,393,-0.053,0.682,-0.757,173.17
2093,4,1,9,10.6,0,2,7,216,-0.154,0.297,-0.68,157.63
2261,3,3,23,28.5,3,1,6,660,-0.168,0.523,-1.417,150.92
596,3,4,17,18.9,2,0,5,714,1.309,0.239,0.313,79.51
2661,4,3,8,11.7,4,0,13,531,0.881,-1.106,-0.786,213.11
547,2,4,0,18.7,1,0,15,907,0.887,0.367,-0.07,63.53
573,4,2,1,7.0,2,2,10,230,-0.732,1.024,-0.498,81.08
2068,2,3,30,5.8,3,2,11,945,1.257,-0.21,0.255,134.14
1442,4,4,20,11.5,1,2,13,462,1.132,0.551,-1.011,147.11
2772,4,1,23,26.0,1,2,6,517,-0.553,0.42,0.245,171.96
611,4,4,18,15.8,3,0,14,400,1.524,1.816,0.39,92.43
1863,4,3,28,9.6,0,1,11,824,-0.683,-0.253,0.828,156.3
2968,1,1,15,28.6,0,0,2,324,-1.842,-0.292,1.968,143.93
1592,1,4,27,24.7,2,0,8,78,1.102,-0.117,-2.092,72.21
2347,5,2,27,10.4,4,0,1,223,-0.12,-0.102,0.32,180.3
951,5,2,20,29.2,0,0,10,763,0.977,-2.273,-0.709,60.14
2550,1,1,24,29.6,4,2,2,879,-0.754,-0.643,-1.925,135.5
2888,1,1,19,12.9,1,0,14,690,-1.262,0.3,0.842,159.11
539,5,4,20,20.0,3,0,4,578,1.232,-0.008,1.332,63.32
1846,2,4,25,12.8,2,1,11,642,-1.407,-0.799,-0.392,132.22
2083,3,2,30,8.5,0,0,7,718,-1.561,-0.665,0.211,149.66
2481,2,1,6,3.4,2,1,9,175,-1.926,-0.356,-0.064,183.08
1659,5,3,2,8.6,4,0,13,95,-2.794,-0.802,0.434,179.72
2397,2,2,7,8.9,3,0,5,839,-1.039,-0.513,0.881,159.11
599,4,4,23,12.6,4,2,2,645,-2.169,-0.539,0.345,71.5
2928,5,2,15,6.4,2,1,1,4,-0.036,0.895,0.346,224.67
1882,3,4,7,28.7,1,0,6,878,-2.236,1.016,1.26,160.94
713,3,4,20,4.0,1,2,5,527,-1.094,0.934,-0.165,100.38
1362,5,1,29,19.1,4,1,3,237,2.332,0.427,0.923,85.53
1935,4,4,10,13.8,3,0,11,52,0.345,-0.708,-0.822,163.57
2838,1,1,7,13.3,4,2,1,784,0.053,0.96,1.607,188.64
2517,4,1,24,11.8,0,0,5,806,-1.621,-0.314,0.738,160.3
1088,4,1,4,26.2,3,1,8,900,-0.246,0.023,-0.404,94.46
2204,3,2,16,9.1,3,1,8,599,0.048,1.338,-2.115,162.62
606,2,3,7,1.6,4,2,5,858,-1.605,0.084,-0.0,87.66
1337,2,4,14,27.6,3,0,13,280,0.126,0.247,-1.182,104.72
1343,2,2,11,26.1,1,1,13,532,1.191,-1.413,0.3,61.25
1942,3,2,29,9.0,2,0,5,621,-0.348,0.487,1.451,121.26
1326,3,3,10,16.2,1,1,14,135,-0.197,-0.98,0.16,99.61
1918,3,1,10,4.2,3,2,4,685,-2.042,1.012,-0.178,145.77
2241,1,1,15,3.7,2,0,9,33,-1.399,-0.185,0.342,135.67
646,1,2,22,25.3,0,2,3,974,1.058,-2.236,0.286,31.8
911,2,1,3,12.9,4,2,12,290,-0.662,-0.358,-2.363,94.22
2289,4,2,20,20.2,3,1,10,281,-0.93,-0.228,0.241,168.68
2706,4,2,17,28.4,4,2,3,867,-0.693,0.485,0.62,168.53
1889,4,1,1,8.1,2,2,4,481,-0.057,0.671,-0.259,161.73
871,2,4,29,1.4,4,0,1,802,-1.158,-0.328,0.979,93.84
890,4,1,7,1.7,3,0,13,502,0.127,1.013,-0.128,105.11
755,2,1,2,21.6,3,2,10,436,-1.36,-3.167,0.767,75.17
