age,annual_income,spending_score,purchased
26,31411,23,0
19,64020,26,0
21,50080,38,0
37,110510,89,1
62,49000,46,1
47,49611,53,1
18,52970,36,0
48,66352,72,1
52,91959,77,1
21,27994,54,0
24,46309,27,0
30,117936,91,1
45,81208,85,1
24,43509,57,0
58,80270,65,1
30,111234,50,1
38,47728,35,0
54,63888,71,1
50,42671,27,0
41,24931,22,0
56,104275,86,1
38,22693,35,0
31,78496,63,1
31,50206,67,0
42,58559,39,0
43,20854,23,0
41,47848,46,0
26,41919,26,0
31,117369,53,1
64,65764,82,1
41,29914,69,0
29,49723,67,0
40,40080,54,0
50,60772,41,0
52,89425,98,1
64,71646,58,1
42,57161,92,1
65,70351,45,1
64,89811,52,1
22,60545,65,0
26,54698,57,0
34,111703,58,1
24,49320,30,0
32,46105,24,0
52,111387,57,1
34,56130,85,1
35,43776,54,0
39,23627,68,0
41,83513,89,1
44,40666,40,0
32,61364,56,1
55,86555,100,1
40,26374,20,0
55,56938,94,1
60,96991,88,1
34,57157,70,0
37,102458,61,1
43,38227,36,0
55,59397,69,1
32,22911,54,0
46,113450,57,1
32,21734,68,0
42,21306,67,0
19,63585,49,0
19,60294,43,0
53,75977,82,1
21,33545,57,0
55,109895,80,1
18,22811,66,0
36,72350,89,1
48,64417,37,0
46,80195,71,1
61,77479,64,1
34,52562,55,0
32,102679,61,1
62,54540,91,1
24,35707,51,0
30,110953,96,1
57,80247,89,1
61,105160,55,1
25,38141,58,0
45,20197,49,0
46,48021,67,0
32,104163,55,1
51,99098,63,1
39,62107,53,0
35,52357,72,1
37,41959,52,0
45,77307,79,1
42,44548,52,0
45,41834,67,0
45,65358,51,1
59,107752,97,1
26,47251,22,0
39,42299,50,0
57,53335,91,1
34,79911,57,1
28,21678,30,0
38,41976,28,0
61,94115,51,1
36,60342,59,0
31,26776,35,0
43,48267,69,1
44,56338,80,1
62,68289,73,1
52,71092,48,1
20,47890,42,0
46,58623,33,0
52,86975,62,1
57,45412,50,1
42,65150,83,1
46,61523,52,0
41,72192,59,1
51,80735,54,1
25,64215,52,0
31,63071,84,1
18,41556,67,0
23,54766,39,0
59,106476,72,1
26,64262,60,0
31,51968,27,0
64,110417,67,1
35,62955,63,1
44,82841,83,1
20,30230,56,0
33,38047,31,0
34,81939,60,1
63,52543,75,1
29,35087,70,0
25,23748,68,0
48,88286,47,1
35,50303,44,0
44,61106,38,0
51,92295,70,1
19,20663,59,0
49,60305,66,1
38,34820,37,0
53,68049,75,1
25,43664,37,0
54,83494,63,1
61,61779,76,1
30,84954,88,1
51,114896,98,1
27,59353,44,0
25,64542,64,0
43,29474,39,0
28,53827,47,0
50,54823,87,1
22,26546,52,0
40,45184,46,0
41,95517,97,1
54,108932,89,1
20,46370,47,0
41,36198,44,0
41,63689,61,0
41,57505,52,0
57,100069,93,1
55,114449,81,1
50,49467,45,0
28,45342,31,0
38,45728,82,1
53,48373,52,1
59,116180,45,1
45,69466,65,1
32,27392,40,0
31,21636,21,0
60,85158,79,1
31,37675,48,0
59,105566,93,1
35,48673,55,0
43,23304,54,0
31,35708,52,0
44,62941,20,0
33,46736,60,0
33,104031,94,1
58,105921,64,1
38,115588,49,1
45,25530,43,0
62,115640,47,1
43,50486,62,1
32,42403,59,0
32,43938,65,0
61,105692,88,1
58,83304,73,1
51,83756,83,1
35,104101,83,1
30,28680,63,0
54,72663,54,1
18,64357,49,0
25,22327,41,0
51,105890,90,1
45,46062,75,1
42,45939,21,0
41,96934,81,1
41,32688,67,0
58,113385,49,1
47,62557,54,0
43,54754,24,0
63,92280,89,1
58,101573,86,1
